Zeile; X-Koordinate; Y-Koordinate; Z-Koordinate; X-Vektor; Y-Vektor; Z-Vektor
182;-3,355332544;14,11046769;11,15287807;0,949672745;0,040951335;0,310555416
183;-2,165891696;14,16090977;11,47273974;0,977283867;0,040848658;0,207960645
184;-0,949345254;14,21122598;11,66547748;0,993694949;0,040747354;0,104450951
185;0,280689851;14,26141992;11,73002706;0,999173447;0,040649915;8,06E-05
186;1,51071285;14,31149163;11,66532681;0,993631489;0,040546968;-0,105130432
187;2,727079501;14,36143832;11,47137409;0,977121655;0,040448268;-0,208799446
188;3,916637197;14,4112628;11,15174324;0,950221052;0,0403504;-0,308952745
189;5,066732681;14,46096906;10,7107142;0,913132476;0,040255753;-0,405670502
190;6,164761739;14,51055562;10,15255199;0,865772517;0,040155936;-0,498824068
191;7,198583033;14,56002121;9,482881533;0,809366422;0,040059467;-0,585936203
192;8,157883117;14,60936816;8,710204945;0,744969219;0,039964805;-0,665900651
193;9,032906797;14,65860054;7,843238811;0,672697566;0,039872658;-0,738842443
194;9,813916333;14,70771587;6,890712556;0,592582113;0,039775781;-0,804527393
195;10,49238541;14,75671395;5,862607578;0,506901012;0,039681711;-0,861090429
196;11,06242049;14,80559685;4,770629156;0,416761579;0,039590015;-0,9081533
197;11,5185643;14,85436854;3,626383646;0,322205845;0,039500217;-0,945845192
198;11,85544378;14,90302569;2,441534213;0,223685869;0,039405156;-0,973864398
199;12,06983555;14,95156842;1,228508227;0,123778095;0,039314495;-0,991530813
200;12,16025404;15;1,50E-14;0,022646037;0,039224086;-0,998973788
